encounter,level,win_rate,avg_rounds,avg_deaths,avg_hp_pct_on_win,timeouts,n
t6_ailment,7,0.588,5.74,3.56,0.526,0,80
t6_ailment,8,0.713,5.58,3.12,0.490,0,80
t6_ailment,9,0.850,5.59,2.49,0.516,0,80
t6_ailment,10,0.900,5.58,2.44,0.496,0,80
t7_brute,1,0.000,0.00,6.00,0.000,0,80
t7_brute,2,0.000,0.00,6.00,0.000,0,80
t7_brute,3,0.000,0.00,6.00,0.000,0,80
t7_brute,4,0.062,12.20,5.79,0.475,0,80
t7_brute,5,0.175,12.43,5.50,0.377,0,80
t7_brute,6,0.325,11.31,4.83,0.460,0,80
t7_brute,7,0.388,10.84,4.36,0.478,0,80
t7_brute,8,0.500,10.15,3.65,0.526,0,80
t7_brute,9,0.562,9.82,3.35,0.553,0,80
t7_brute,10,0.588,9.19,3.25,0.571,0,80
t7_skirmisher,1,0.000,0.00,6.00,0.000,0,80
t7_skirmisher,2,0.000,0.00,6.00,0.000,0,80
t7_skirmisher,3,0.000,0.00,6.00,0.000,0,80
t7_skirmisher,4,0.000,0.00,6.00,0.000,0,80
t7_skirmisher,5,0.000,0.00,6.00,0.000,0,80
t7_skirmisher,6,0.000,0.00,6.00,0.000,0,80
t7_skirmisher,7,0.000,0.00,6.00,0.000,0,80
t7_skirmisher,8,0.000,0.00,6.00,0.000,0,80
t7_skirmisher,9,0.000,0.00,6.00,0.000,0,80
t7_skirmisher,10,0.013,15.00,5.97,0.231,0,80
t7_swarm,1,0.000,0.00,6.00,0.000,0,80
t7_swarm,2,0.000,0.00,6.00,0.000,0,80
t7_swarm,3,0.000,0.00,6.00,0.000,0,80
t7_swarm,4,0.000,0.00,6.00,0.000,0,80
t7_swarm,5,0.000,0.00,6.00,0.000,0,80
t7_swarm,6,0.000,0.00,6.00,0.000,0,80
t7_swarm,7,0.000,0.00,6.00,0.000,0,80
t7_swarm,8,0.000,0.00,6.00,0.000,0,80
t7_swarm,9,0.013,6.00,5.96,0.362,0,80
t7_swarm,10,0.025,7.00,5.90,0.309,0,80
t7_ailment,1,0.000,0.00,6.00,0.000,0,80
t7_ailment,2,0.000,0.00,6.00,0.000,0,80
t7_ailment,3,0.013,9.00,5.97,0.198,0,80
t7_ailment,4,0.050,7.00,5.84,0.430,0,80
t7_ailment,5,0.037,7.67,5.90,0.280,0,80
t7_ailment,6,0.037,6.67,5.88,0.302,0,80
t7_ailment,7,0.163,7.46,5.50,0.365,0,80
t7_ailment,8,0.325,6.88,4.84,0.420,0,80
t7_ailment,9,0.362,7.03,4.72,0.434,0,80
t7_ailment,10,0.412,6.33,4.29,0.473,0,80
t8_brute,1,0.000,0.00,6.00,0.000,0,80
t8_brute,2,0.000,0.00,6.00,0.000,0,80
t8_brute,3,0.000,0.00,6.00,0.000,0,80
t8_brute,4,0.000,0.00,6.00,0.000,0,80
t8_brute,5,0.000,0.00,6.00,0.000,0,80
t8_brute,6,0.037,14.67,5.90,0.306,0,80
t8_brute,7,0.100,14.38,5.75,0.272,0,80
t8_brute,8,0.138,13.55,5.62,0.293,0,80
t8_brute,9,0.250,13.50,5.40,0.272,0,80
t8_brute,10,0.263,12.48,5.06,0.397,0,80
t8_skirmisher,1,0.000,0.00,6.00,0.000,0,80
t8_skirmisher,2,0.000,0.00,6.00,0.000,0,80
t8_skirmisher,3,0.000,0.00,6.00,0.000,0,80
t8_skirmisher,4,0.000,0.00,6.00,0.000,0,80
t8_skirmisher,5,0.000,0.00,6.00,0.000,0,80
t8_skirmisher,6,0.000,0.00,6.00,0.000,0,80
t8_skirmisher,7,0.000,0.00,6.00,0.000,0,80
t8_skirmisher,8,0.000,0.00,6.00,0.000,0,80
t8_skirmisher,9,0.000,0.00,6.00,0.000,0,80
t8_skirmisher,10,0.000,0.00,6.00,0.000,0,80
t8_swarm,1,0.000,0.00,6.00,0.000,0,80
t8_swarm,2,0.000,0.00,6.00,0.000,0,80
t8_swarm,3,0.000,0.00,6.00,0.000,0,80
t8_swarm,4,0.000,0.00,6.00,0.000,0,80
t8_swarm,5,0.000,0.00,6.00,0.000,0,80
t8_swarm,6,0.000,0.00,6.00,0.000,0,80
t8_swarm,7,0.000,0.00,6.00,0.000,0,80
t8_swarm,8,0.000,0.00,6.00,0.000,0,80
t8_swarm,9,0.000,0.00,6.00,0.000,0,80
t8_swarm,10,0.000,0.00,6.00,0.000,0,80
t8_ailment,1,0.000,0.00,6.00,0.000,0,80
t8_ailment,2,0.000,0.00,6.00,0.000,0,80
t8_ailment,3,0.000,0.00,6.00,0.000,0,80
t8_ailment,4,0.000,0.00,6.00,0.000,0,80
t8_ailment,5,0.000,0.00,6.00,0.000,0,80
t8_ailment,6,0.000,0.00,6.00,0.000,0,80
t8_ailment,7,0.025,8.00,5.97,0.070,0,80
t8_ailment,8,0.000,0.00,6.00,0.000,0,80
t8_ailment,9,0.025,8.00,5.92,0.388,0,80
t8_ailment,10,0.087,7.29,5.69,0.409,0,80
t9_brute,1,0.000,0.00,6.00,0.000,0,80
t9_brute,2,0.000,0.00,6.00,0.000,0,80
t9_brute,3,0.000,0.00,6.00,0.000,0,80
t9_brute,4,0.000,0.00,6.00,0.000,0,80
t9_brute,5,0.000,0.00,6.00,0.000,0,80
t9_brute,6,0.000,0.00,6.00,0.000,0,80
t9_brute,7,0.000,0.00,6.00,0.000,0,80
t9_brute,8,0.000,0.00,6.00,0.000,0,80
t9_brute,9,0.037,14.67,5.89,0.322,0,80
t9_brute,10,0.113,13.89,5.62,0.337,0,80
t9_skirmisher,1,0.000,0.00,6.00,0.000,0,80
t9_skirmisher,2,0.000,0.00,6.00,0.000,0,80
t9_skirmisher,3,0.000,0.00,6.00,0.000,0,80
t9_skirmisher,4,0.000,0.00,6.00,0.000,0,80
t9_skirmisher,5,0.000,0.00,6.00,0.000,0,80
t9_skirmisher,6,0.000,0.00,6.00,0.000,0,80
t9_skirmisher,7,0.000,0.00,6.00,0.000,0,80
t9_skirmisher,8,0.000,0.00,6.00,0.000,0,80
t9_skirmisher,9,0.000,0.00,6.00,0.000,0,80
t9_skirmisher,10,0.000,0.00,6.00,0.000,0,80
t9_swarm,1,0.000,0.00,6.00,0.000,0,80
t9_swarm,2,0.000,0.00,6.00,0.000,0,80
t9_swarm,3,0.000,0.00,6.00,0.000,0,80
t9_swarm,4,0.000,0.00,6.00,0.000,0,80
t9_swarm,5,0.000,0.00,6.00,0.000,0,80
t9_swarm,6,0.000,0.00,6.00,0.000,0,80
t9_swarm,7,0.000,0.00,6.00,0.000,0,80
t9_swarm,8,0.000,0.00,6.00,0.000,0,80
t9_swarm,9,0.000,0.00,6.00,0.000,0,80
t9_swarm,10,0.000,0.00,6.00,0.000,0,80
t9_ailment,1,0.000,0.00,6.00,0.000,0,80
t9_ailment,2,0.000,0.00,6.00,0.000,0,80
t9_ailment,3,0.000,0.00,6.00,0.000,0,80
t9_ailment,4,0.000,0.00,6.00,0.000,0,80
t9_ailment,5,0.000,0.00,6.00,0.000,0,80
t9_ailment,6,0.000,0.00,6.00,0.000,0,80
t9_ailment,7,0.000,0.00,6.00,0.000,0,80
t9_ailment,8,0.000,0.00,6.00,0.000,0,80
t9_ailment,9,0.000,0.00,6.00,0.000,0,80
t9_ailment,10,0.000,0.00,6.00,0.000,0,80
t10_brute,1,0.000,0.00,6.00,0.000,0,80
t10_brute,2,0.000,0.00,6.00,0.000,0,80
t10_brute,3,0.000,0.00,6.00,0.000,0,80
